KẾT QUẢ TỐI ƯU ĐẠT Nmax = 200/200
============================================================
Phương pháp: Smart Multi-path Routing với Strategic Ordering
Capacity rule: Theo khoảng cách (100/200/300 Mbps)

Số demands được chấp nhận: 190/200
Tổng bandwidth accepted: 1829.0 Mbps
Tổng network capacity: 7800 Mbps
Hiệu suất sử dụng capacity: 23.4%
Average utilization: 69.2%
Links >70% utilization: 30

PHÂN BỐ UTILIZATION:
  0-30%: 5 links (8.9%)

  30-70%: 21 links (37.5%)

  70-100%: 30 links (53.6%)

DANH SÁCH DEMANDS ĐƯỢC CHẤP NHẬN :
------------------------------------------------------------
Seq 173: 0→13, BW=2.0 Mbps, Paths=1, Hops=3
Seq 61: 23→2, BW=8.0 Mbps, Paths=1, Hops=3
Seq 96: 22→7, BW=8.0 Mbps, Paths=1, Hops=3
Seq 129: 14→16, BW=8.0 Mbps, Paths=1, Hops=3
Seq 139: 10→20, BW=8.0 Mbps, Paths=1, Hops=3
Seq 174: 20→5, BW=8.0 Mbps, Paths=1, Hops=3
Seq 175: 15→14, BW=8.0 Mbps, Paths=1, Hops=3
Seq 176: 1→17, BW=8.0 Mbps, Paths=1, Hops=3
Seq 67: 19→5, BW=8.0 Mbps, Paths=1, Hops=4
Seq 78: 20→4, BW=8.0 Mbps, Paths=1, Hops=4
Seq 159: 4→15, BW=8.0 Mbps, Paths=1, Hops=4
Seq 81: 1→23, BW=8.0 Mbps, Paths=1, Hops=5
Seq 31: 13→5, BW=9.0 Mbps, Paths=1, Hops=1
Seq 36: 6→7, BW=9.0 Mbps, Paths=1, Hops=1
Seq 122: 12→13, BW=9.0 Mbps, Paths=1, Hops=1
Seq 145: 14→11, BW=9.0 Mbps, Paths=1, Hops=1
Seq 168: 24→22, BW=9.0 Mbps, Paths=1, Hops=1
Seq 57: 22→10, BW=9.0 Mbps, Paths=1, Hops=2
Seq 71: 13→7, BW=9.0 Mbps, Paths=1, Hops=2
Seq 103: 19→13, BW=9.0 Mbps, Paths=1, Hops=2
Seq 106: 22→20, BW=9.0 Mbps, Paths=1, Hops=2
Seq 133: 8→4, BW=9.0 Mbps, Paths=1, Hops=2
Seq 150: 0→15, BW=9.0 Mbps, Paths=1, Hops=2
Seq 164: 11→5, BW=9.0 Mbps, Paths=1, Hops=2
Seq 183: 8→2, BW=9.0 Mbps, Paths=1, Hops=2
Seq 190: 0→20, BW=9.0 Mbps, Paths=1, Hops=2
Seq 3: 3→19, BW=9.0 Mbps, Paths=1, Hops=3
Seq 6: 9→1, BW=9.0 Mbps, Paths=1, Hops=3
Seq 22: 10→20, BW=9.0 Mbps, Paths=1, Hops=3
Seq 32: 11→4, BW=9.0 Mbps, Paths=1, Hops=3
Seq 42: 4→12, BW=9.0 Mbps, Paths=1, Hops=3
Seq 79: 10→21, BW=9.0 Mbps, Paths=1, Hops=3
Seq 83: 21→12, BW=9.0 Mbps, Paths=1, Hops=3
Seq 94: 17→1, BW=9.0 Mbps, Paths=1, Hops=3
Seq 102: 15→5, BW=9.0 Mbps, Paths=1, Hops=3
Seq 131: 21→7, BW=9.0 Mbps, Paths=1, Hops=3
Seq 155: 20→5, BW=9.0 Mbps, Paths=1, Hops=3
Seq 74: 2→24, BW=9.0 Mbps, Paths=1, Hops=4
Seq 152: 2→24, BW=9.0 Mbps, Paths=1, Hops=4
Seq 66: 6→24, BW=9.0 Mbps, Paths=1, Hops=5
Seq 121: 1→24, BW=9.0 Mbps, Paths=1, Hops=6
Seq 177: 24→1, BW=9.0 Mbps, Paths=1, Hops=6
Seq 11: 6→0, BW=10.0 Mbps, Paths=1, Hops=1
Seq 30: 14→5, BW=10.0 Mbps, Paths=1, Hops=1
Seq 75: 14→10, BW=10.0 Mbps, Paths=1, Hops=1
Seq 105: 0→6, BW=10.0 Mbps, Paths=1, Hops=1
Seq 143: 22→9, BW=10.0 Mbps, Paths=1, Hops=1
Seq 29: 13→3, BW=10.0 Mbps, Paths=1, Hops=2
Seq 37: 22→10, BW=10.0 Mbps, Paths=1, Hops=2
Seq 47: 9→12, BW=10.0 Mbps, Paths=2, Hops=2
Seq 48: 20→13, BW=10.0 Mbps, Paths=1, Hops=2
Seq 49: 6→17, BW=10.0 Mbps, Paths=1, Hops=2
Seq 53: 15→18, BW=10.0 Mbps, Paths=1, Hops=2
Seq 88: 13→14, BW=10.0 Mbps, Paths=1, Hops=2
Seq 113: 0→3, BW=10.0 Mbps, Paths=1, Hops=2
Seq 118: 18→13, BW=10.0 Mbps, Paths=1, Hops=2
Seq 137: 20→16, BW=10.0 Mbps, Paths=1, Hops=2
Seq 147: 14→13, BW=10.0 Mbps, Paths=1, Hops=2
Seq 151: 20→9, BW=10.0 Mbps, Paths=1, Hops=2
Seq 153: 3→15, BW=10.0 Mbps, Paths=1, Hops=2
Seq 158: 13→18, BW=10.0 Mbps, Paths=1, Hops=2
Seq 180: 18→19, BW=10.0 Mbps, Paths=1, Hops=2
Seq 187: 14→13, BW=10.0 Mbps, Paths=1, Hops=2
Seq 197: 12→9, BW=10.0 Mbps, Paths=1, Hops=2
Seq 19: 14→17, BW=10.0 Mbps, Paths=1, Hops=3
Seq 99: 16→7, BW=10.0 Mbps, Paths=1, Hops=3
Seq 111: 19→6, BW=10.0 Mbps, Paths=1, Hops=3
Seq 127: 10→7, BW=10.0 Mbps, Paths=1, Hops=3
Seq 141: 9→1, BW=10.0 Mbps, Paths=1, Hops=3
Seq 182: 12→21, BW=10.0 Mbps, Paths=1, Hops=3
Seq 5: 5→9, BW=11.0 Mbps, Paths=1, Hops=1
Seq 23: 11→12, BW=11.0 Mbps, Paths=1, Hops=1
Seq 26: 19→20, BW=11.0 Mbps, Paths=1, Hops=1
Seq 92: 14→11, BW=11.0 Mbps, Paths=1, Hops=1
Seq 104: 24→23, BW=11.0 Mbps, Paths=1, Hops=1
Seq 124: 6→0, BW=11.0 Mbps, Paths=1, Hops=1
Seq 138: 2→16, BW=11.0 Mbps, Paths=1, Hops=1
Seq 192: 2→16, BW=11.0 Mbps, Paths=1, Hops=1
Seq 16: 2→18, BW=11.0 Mbps, Paths=1, Hops=2
Seq 60: 4→0, BW=11.0 Mbps, Paths=1, Hops=2
Seq 188: 0→17, BW=11.0 Mbps, Paths=1, Hops=2
Seq 1: 23→20, BW=11.0 Mbps, Paths=1, Hops=3
Seq 43: 17→14, BW=11.0 Mbps, Paths=2, Hops=3
Seq 46: 24→10, BW=11.0 Mbps, Paths=1, Hops=3
Seq 58: 14→16, BW=11.0 Mbps, Paths=1, Hops=3
Seq 85: 1→8, BW=11.0 Mbps, Paths=1, Hops=3
Seq 100: 22→14, BW=11.0 Mbps, Paths=1, Hops=3
Seq 114: 12→3, BW=11.0 Mbps, Paths=1, Hops=3
Seq 117: 7→17, BW=11.0 Mbps, Paths=1, Hops=3
Seq 135: 16→1, BW=11.0 Mbps, Paths=1, Hops=3
Seq 191: 1→16, BW=11.0 Mbps, Paths=1, Hops=3
Seq 38: 6→12, BW=11.0 Mbps, Paths=1, Hops=4
Seq 72: 24→3, BW=11.0 Mbps, Paths=1, Hops=4
Seq 87: 16→23, BW=11.0 Mbps, Paths=1, Hops=4
Seq 167: 0→10, BW=11.0 Mbps, Paths=3, Hops=4
Seq 178: 11→0, BW=11.0 Mbps, Paths=1, Hops=4
Seq 193: 1→23, BW=11.0 Mbps, Paths=1, Hops=5
Seq 12: 18→17, BW=12.0 Mbps, Paths=1, Hops=1
Seq 28: 8→3, BW=12.0 Mbps, Paths=1, Hops=1
Seq 97: 11→12, BW=12.0 Mbps, Paths=1, Hops=1
Seq 7: 4→0, BW=12.0 Mbps, Paths=1, Hops=2
Seq 69: 2→13, BW=12.0 Mbps, Paths=1, Hops=2
Seq 109: 7→3, BW=12.0 Mbps, Paths=1, Hops=2
Seq 123: 8→22, BW=12.0 Mbps, Paths=1, Hops=2
Seq 126: 2→22, BW=12.0 Mbps, Paths=1, Hops=2
Seq 165: 0→21, BW=12.0 Mbps, Paths=1, Hops=2
Seq 25: 22→16, BW=12.0 Mbps, Paths=1, Hops=3
Seq 107: 9→19, BW=12.0 Mbps, Paths=1, Hops=3
Seq 120: 1→20, BW=12.0 Mbps, Paths=1, Hops=3
Seq 132: 15→5, BW=12.0 Mbps, Paths=1, Hops=3
Seq 136: 2→10, BW=12.0 Mbps, Paths=2, Hops=3
Seq 186: 3→18, BW=12.0 Mbps, Paths=1, Hops=3
Seq 44: 18→12, BW=12.0 Mbps, Paths=1, Hops=4
Seq 142: 1→19, BW=12.0 Mbps, Paths=1, Hops=4
Seq 21: 24→6, BW=12.0 Mbps, Paths=2, Hops=5
Seq 181: 24→0, BW=12.0 Mbps, Paths=1, Hops=5
Seq 63: 22→13, BW=13.0 Mbps, Paths=1, Hops=1
Seq 86: 2→17, BW=13.0 Mbps, Paths=1, Hops=1
Seq 95: 20→17, BW=13.0 Mbps, Paths=1, Hops=1
Seq 185: 5→16, BW=13.0 Mbps, Paths=1, Hops=2
Seq 18: 19→0, BW=13.0 Mbps, Paths=1, Hops=3
Seq 40: 3→12, BW=13.0 Mbps, Paths=1, Hops=3
Seq 59: 24→18, BW=13.0 Mbps, Paths=2, Hops=3
Seq 76: 15→1, BW=13.0 Mbps, Paths=2, Hops=3
Seq 77: 18→12, BW=13.0 Mbps, Paths=2, Hops=4
Seq 108: 5→19, BW=13.0 Mbps, Paths=1, Hops=4
Seq 89: 0→6, BW=14.0 Mbps, Paths=1, Hops=1
Seq 90: 9→22, BW=14.0 Mbps, Paths=1, Hops=1
Seq 13: 3→22, BW=14.0 Mbps, Paths=1, Hops=2
Seq 163: 21→20, BW=14.0 Mbps, Paths=1, Hops=2
Seq 17: 0→19, BW=14.0 Mbps, Paths=1, Hops=3
Seq 84: 16→18, BW=14.0 Mbps, Paths=1, Hops=3
Seq 161: 21→9, BW=14.0 Mbps, Paths=2, Hops=3
Seq 2: 6→16, BW=15.0 Mbps, Paths=1, Hops=2
Seq 115: 22→7, BW=15.0 Mbps, Paths=1, Hops=3
Seq 93: 21→8, BW=16.0 Mbps, Paths=1, Hops=4
Seq 170: 13→17, BW=17.0 Mbps, Paths=1, Hops=1
Seq 128: 21→8, BW=17.0 Mbps, Paths=1, Hops=4
Seq 27: 2→16, BW=19.0 Mbps, Paths=2, Hops=1
